          nEv  nVtx   nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.299178 -0.646948       14         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.289708 -0.835023       14         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.286070  1.767218       23         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.284492  0.296314       18         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.280007  2.527275        9          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.277558  0.884045       13         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.277155 -1.785808       18         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.272436 -1.892891       25         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.264194 -2.650757        6          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.262749 -2.358556       17         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.261875 -1.882255       23         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.255809 -0.493540       18         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.242647 -2.192977       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.237457  0.477263       15         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.225973  2.082067       18         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.219396  1.724929       25         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.218677  1.606390       22         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.213855  2.376933       15          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.210722 -0.215702       12          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.209917  2.406038       15         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.208694 -2.289480       17         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.206837  2.070078       19         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.201967 -2.244835       19         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.188013 -1.141106       14         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.176455 -2.402043       13          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.175509  0.753591       17         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.168583 -1.982358       16         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.166186 -1.634702       22         15        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.164050  0.829075        8          7        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.157545 -0.574202       16         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.157024 -1.096397       14         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.143766 -0.271873        5          4        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.141307  1.820954       22         15        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.136647 -0.186307        5          4        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.124067 -0.945673       18         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.123000  2.418567       15         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.120632 -2.235390       19         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.118264 -1.501726       16         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.116525  0.607948        5          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.107416 -0.065341       17         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.105266  0.361046       11          8        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.104003  1.486644       16         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.096930  0.234637       15         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.094282  1.187939       15         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.093702  1.961401       27         16        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.092123 -1.665955       24         15        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.090907 -1.308259       19         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.085582  0.601340       17         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.080746  1.021710       13         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.080161 -1.142303       18         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.077119  0.704233       15         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.076787  2.490536        6          5        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.064547  2.287330       17         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.046847 -1.903271       18         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.042329 -1.738178       21         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.036189 -1.327408       13         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.036099  1.707600       22         14        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.021730  2.417702       14         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.016851 -0.178703       13         10        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.016653  1.111964       10          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.015213  2.344530       14         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.015069  1.035210       13          9        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.010107 -0.209719       16         11        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   1.000050  2.203464       21         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.999675 -2.077051       17         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.999400  0.116894       15         13        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.994579  1.433772       15         12        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.993956 -1.850680        9          6        True
4798     3354     1   2309  0.170690 -0.182565   1.620123   0.989331  1.924812       25         16        True
