               nEv    nRun  nLumi  nVtx  nTrk  N     trkPt  trkPtError  highPurity  trkNHit  __array_index
6957816  154224940  362321    323     1     3  0  0.699791    0.014159        True       15              1
6957817  154224940  362321    323     1     3  0  0.476192    0.008823       False        8              2
7007262  156680897  362321    328     1     2  0  0.564758    0.056381       False        4              0
7007263  156680897  362321    328     1     2  0  0.368810    0.008722       False       10              1
7157031  159048971  362321    332     1     2  0  0.514187    0.005561       False       11              0
7157032  159048971  362321    332     1     2  0  0.296948    0.007457       False       15              1
7173353  158941199  362321    332     1     4  1  0.721400    0.015246       False       18              0
7173354  158941199  362321    332     1     4  1  0.681309    0.017304       False        6              1
7173355  158941199  362321    332     1     4  1  0.668353    0.017216        True       13              2
7173356  158941199  362321    332     1     4  1  0.228228    0.006500       False        4              3
7788947   15813960  362321     37     1     4  2  1.109234    0.016074       False       15              0
7788948   15813960  362321     37     1     4  2  0.249926    0.006447        True       13              1
7788949   15813960  362321     37     1     4  2  0.255000    0.005556       False        5              2
7788950   15813960  362321     37     1     4  2  0.178023    0.004404        True       18              3
7788951   15866723  362321     37     1     2  1  0.819628    0.016136       False       16              0
7788952   15866723  362321     37     1     2  1  0.489312    0.008447        True       21              1
7860275     119854  362321      1     1     2  1  0.872473    0.021460       False        9              0
7860276     119854  362321      1     1     2  1  0.238320    0.005961        True       19              1
7977087   18369263  362321     42     1     2  2  0.864743    0.019204        True       21              0
7977088   18369263  362321     42     1     2  2  0.269125    0.006361        True       15              1
8051540   19351561  362321     44     1     2  1  0.423529    0.006327       False        9              0
8051541   19351561  362321     44     1     2  1  0.345936    0.008879        True       15              1
8109453   20190865  362321     46     1     3  0  0.540691    0.009073       False       23              0
8109454   20190865  362321     46     1     3  0  0.633435    0.011017       False       21              1
8109455   20190865  362321     46     1     3  0  0.463339    0.008947       False        8              2
8218478    1365538  362321      4     1     3  2  0.487976    0.008294        True       20              0
8218479    1365538  362321      4     1     3  2  0.512036    0.075341        True        3              1
8218480    1365538  362321      4     1     3  2  0.672295    0.008070        True       18              2
8976388   32342245  362321     70     1     2  1  0.549250    0.009578        True        8              0
8976389   32342245  362321     70     1     2  1  0.484589    0.007736       False       13              1
8982249   32355143  362321     70     1     2  0  0.420466    0.021664       False        3              0
8982250   32355143  362321     70     1     2  0  0.435234    0.015559       False        3              1
9068441   34133533  362321     74     1     2  1  0.791000    0.012891       False       10              0
9068442   34133533  362321     74     1     2  1  0.924144    0.010853        True        9              1
9373698   38909443  362321     84     1     2  0  0.694685    0.008824       False       19              0
9373699   38909443  362321     84     1     2  0  0.585440    0.006232       False       10              1
9639521    3737221  362321      9     1     2  2  0.423037    0.046672        True        5              0
9639522    3737221  362321      9     1     2  2  0.233658    0.006223        True       20              1
9829097   44807640  362321     95     1     3  2  0.173927    0.005577       False        4              0
9829098   44807640  362321     95     1     3  2  0.368563    0.009309        True       20              1
9829099   44807640  362321     95     1     3  2  0.242624    0.004899        True       19              2
9850886   46066958  362321     98     1     2  0  0.362197    0.032367       False        4              0
9850887   46066958  362321     98     1     2  0  0.183533    0.005963       False       11              1
9887550   45407251  362321     97     1     2  0  0.428650    0.072760        True        3              0
9887551   45407251  362321     97     1     2  0  0.440041    0.010327       False        8              1
9889098   45592591  362321     97     1     4  2  0.957073    0.015591        True       21              0
9889099   45592591  362321     97     1     4  2  1.168329    0.013286        True       16              1
9889100   45592591  362321     97     1     4  2  0.195709    0.008670       False        4              2
9889101   45592591  362321     97     1     4  2  0.390326    0.008888        True       22              3
