         nEv  nVtx  nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.053952 -0.780898       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.032552  2.629098        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   2.017328 -2.374781       16         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.992407  1.839805       22         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.985376  1.981187       25         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.968591  1.859410       17         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.962779  1.154996       14         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.954791 -0.683355       13          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.946513  0.107781        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.945523  0.599860       14         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.928315  0.237627       21         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.917481 -0.883464        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.915460 -0.957053       17         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.911887 -1.309057        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.907620 -0.865486       20         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.903423 -0.308306       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.899578  1.664411        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.896299  1.061887        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.894506  2.242569       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.889096 -0.537608       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.886518 -0.744254       10          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.876345 -1.043238       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.875748 -1.206722       17         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.843981  2.233046       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.839653 -1.572559        7          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.832961 -0.246013       15         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.830895 -0.219617       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.829438 -1.019039       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.827638 -1.498831       13          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.821294 -2.010692       23         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.819180 -0.803906       17         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.812395 -0.702760       14         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.812280 -1.743963       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.808531  0.181874        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.805109  0.407056       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.802015 -1.809444       18         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.798887 -0.240022       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.796690 -0.325024       17         13        True
